,inpatient_beds_used_covid
2020-12-10,0.2093886639410712
2020-12-11,0.1935857459077828
2020-12-12,0.19951184017026594
2020-12-13,0.18667196926821913
2020-12-14,0.1777828278744944
2020-12-15,0.17580746312033335
2020-12-16,0.1777828278744944
2020-12-17,0.17185673361201126
2020-12-18,0.16395527459536707
2020-12-19,0.15704149795580338
2020-12-20,0.16099222746412548
2020-12-21,0.15901686270996443
2020-12-22,0.15210308607040077
2020-12-23,0.15605381557872286
2020-12-24,0.14716467418499815
2020-12-25,0.12049725000382398
2020-12-26,0.11852188524966294
2020-12-27,0.11950956762674346
2020-12-28,0.12642334426630714
2020-12-29,0.1402508975454345
2020-12-30,0.12346029713506555
2020-12-31,0.10765737910177717
2021-01-01,0.10370664959345507
2021-01-02,0.10864506147885769
2021-01-03,0.11950956762674346
2021-01-04,0.12741102664338766
2021-01-05,0.12346029713506555
2021-01-06,0.11852188524966294
2021-01-07,0.1254356618892266
2021-01-08,0.11457115574134084
2021-01-09,0.10864506147885769
2021-01-10,0.09481750819973035
2021-01-11,0.10370664959345507
2021-01-12,0.11457115574134084
2021-01-13,0.09382982582264983
2021-01-14,0.0967928729538914
2021-01-15,0.0928421434455693
2021-01-16,0.08691604918308615
2021-01-17,0.09382982582264983
2021-01-18,0.10666969672469664
2021-01-19,0.10271896721637455
2021-01-20,0.08987909631432772
2021-01-21,0.09876823770805244
2021-01-22,0.08592836680600563
2021-01-23,0.07506386065811986
2021-01-24,0.06815008401855618
2021-01-25,0.06913776639563671
2021-01-26,0.08098995492060301
2021-01-27,0.08000227254352248
2021-01-28,0.07210081352687829
2021-01-29,0.06518703688731461
2021-01-30,0.06518703688731461
2021-01-31,0.06419935451023409
2021-02-01,0.058273260247750945
2021-02-02,0.062223989756073045
2021-02-03,0.05333484836234832
2021-02-04,0.05531021311650937
2021-02-05,0.0523471659852678
2021-02-06,0.050371801231106746
2021-02-07,0.04148265983738203
2021-02-08,0.050371801231106746
2021-02-09,0.05333484836234832
2021-02-10,0.06024862500191199
2021-02-11,0.051359483608187276
2021-02-12,0.050371801231106746
2021-02-13,0.047408754099865176
2021-02-14,0.04642107172278465
2021-02-15,0.0444457069686236
2021-02-16,0.04049497746030151
2021-02-17,0.043458024591543076
2021-02-18,0.04642107172278465
2021-02-19,0.04049497746030151
2021-02-20,0.035556565574898884
2021-02-21,0.031605836066576784
2021-02-22,0.025679741804093638
2021-02-23,0.031605836066576784
2021-02-24,0.03259351844365731
2021-02-25,0.027655106558254684
2021-02-26,0.03358120082073783
2021-02-27,0.035556565574898884
2021-02-28,0.03259351844365731
2021-03-01,0.03358120082073783
2021-03-02,0.035556565574898884
2021-03-03,0.02864278893533521
2021-03-04,0.02864278893533521
2021-03-05,0.02666742418117416
2021-03-06,0.02469205942701311
2021-03-07,0.030618153689496257
2021-03-08,0.025679741804093638
2021-03-09,0.027655106558254684
2021-03-10,0.023704377049932588
2021-03-11,0.016790600410368915
2021-03-12,0.025679741804093638
2021-03-13,0.013827553279127342
2021-03-14,0.016790600410368915
2021-03-15,0.02666742418117416
2021-03-16,0.02469205942701311
2021-03-17,0.025679741804093638
2021-03-18,0.02666742418117416
2021-03-19,0.021729012295771538
2021-03-20,0.020741329918691015
2021-03-21,0.020741329918691015
2021-03-22,0.017778282787449442
2021-03-23,0.03358120082073783
2021-03-24,0.027655106558254684
2021-03-25,0.023704377049932588
2021-03-26,0.031605836066576784
2021-03-27,0.016790600410368915
2021-03-28,0.01975364754161049
2021-03-29,0.01975364754161049
2021-03-30,0.020741329918691015
2021-03-31,0.025679741804093638
2021-04-01,0.029630471312415734
2021-04-02,0.02666742418117416
2021-04-03,0.023704377049932588
2021-04-04,0.025679741804093638
2021-04-05,0.020741329918691015
2021-04-06,0.02469205942701311
2021-04-07,0.027655106558254684
2021-04-08,0.02469205942701311
2021-04-09,0.02469205942701311
2021-04-10,0.017778282787449442
2021-04-11,0.01975364754161049
2021-04-12,0.02271669467285206
2021-04-13,0.023704377049932588
2021-04-14,0.02864278893533521
2021-04-15,0.023704377049932588
2021-04-16,0.02666742418117416
2021-04-17,0.025679741804093638
2021-04-18,0.025679741804093638
2021-04-19,0.025679741804093638
2021-04-20,0.02271669467285206
2021-04-21,0.023704377049932588
2021-04-22,0.027655106558254684
2021-04-23,0.02864278893533521
2021-04-24,0.030618153689496257
2021-04-25,0.02469205942701311
2021-04-26,0.02469205942701311
2021-04-27,0.02666742418117416
2021-04-28,0.029630471312415734
2021-04-29,0.030618153689496257
2021-04-30,0.029630471312415734
2021-05-01,0.03259351844365731
2021-05-02,0.02864278893533521
2021-05-03,0.03753193032905993
2021-05-04,0.05531021311650937
2021-05-05,0.031605836066576784
2021-05-06,0.02469205942701311
2021-05-07,0.025679741804093638
2021-05-08,0.029630471312415734
2021-05-09,0.02271669467285206
2021-05-10,0.017778282787449442
2021-05-11,0.01975364754161049
2021-05-12,0.020741329918691015
2021-05-13,0.025679741804093638
2021-05-14,0.02469205942701311
2021-05-15,0.02666742418117416
2021-05-16,0.029630471312415734
2021-05-17,0.031605836066576784
2021-05-18,0.03358120082073783
2021-05-19,0.031605836066576784
2021-05-20,0.035556565574898884
2021-05-21,0.04049497746030151
2021-05-22,0.03753193032905993
2021-05-23,0.04148265983738203
2021-05-24,0.0483964364769457
2021-05-25,0.04148265983738203
2021-05-26,0.03851961270614045
2021-05-27,0.043458024591543076
2021-05-28,0.04148265983738203
2021-05-29,0.04148265983738203
